iter	Passed	Remaining
571	499913	374061
572	500777	373179
573	501644	372300
574	502512	371422
575	503387	370549
576	504277	369687
577	505185	368838
578	506052	367959
579	506942	367095
580	507801	366211
581	508664	365329
582	509535	364453
583	510396	363570
584	511259	362688
585	512136	361816
586	513004	360938
587	513875	360062
588	514755	359192
589	515636	358323
590	516506	357447
591	517384	356575
592	518260	355703
593	519152	354841
594	520022	353965
595	520892	353088
596	521752	352204
597	522618	351325
598	523476	350440
599	524347	349565
600	525234	348699
601	526167	347865
602	527066	347007
603	527941	346133
604	528826	345266
605	529691	344386
606	530549	343502
607	531428	342631
608	532294	341752
609	533171	340880
610	534033	339998
611	534913	339128
612	535779	338249
613	536655	337376
614	537530	336502
615	538394	335622
616	539261	334744
617	540132	333868
618	541015	333000
619	541891	332127
620	542752	331244
621	543615	330364
622	544478	329484
623	545364	328617
624	546230	327738
625	547097	326860
626	547960	325979
627	548829	325102
628	549700	324227
629	550554	323341
630	551423	322464
631	552285	321583
632	553184	320724
633	554054	319848
634	554926	318973
635	555800	318099
636	556662	317219
637	557528	316340
638	558395	315463
639	559265	314586
640	560130	313707
641	561005	312835
642	561882	311962
643	562749	311085
644	563611	310204
645	564487	309332
646	565386	308472
647	566272	307604
648	567141	306728
649	568014	305853
650	568877	304973
651	569771	304111
652	570640	303234
653	571507	302357
654	572379	301482
655	573242	300602
656	574108	299724
657	575008	298864
658	575878	297988
659	576760	297119
660	577622	296239
661	578503	295368
662	579361	294486
663	580245	293618
664	581106	292737
665	581980	291863
666	582848	290987
667	583712	290108
668	584582	289232
669	585462	288362
670	586332	287486
671	587203	286611
672	588062	285730
673	588952	284864
674	589817	283986
675	590691	283112
676	591558	282235
677	592438	281364
678	593307	280488
679	594186	279617
680	595075	278750
681	595944	277874
682	596831	277006
683	597700	276130
684	598573	275256
685	599437	274377
686	600303	273500
687	601188	272631
688	602058	271756
689	602927	270880
690	603794	270003
691	604668	269129
692	605548	268258
693	606414	267381
694	607284	266506
695	608150	265629
696	609011	264749
697	609883	263875
698	610750	262998
699	611618	262122
700	612482	261244
701	613377	260379
702	614248	259504
703	615137	258637
704	616007	257761
705	616883	256889
706	617752	256013
707	618624	255138
708	619497	254265
709	620367	253389
710	621242	252516
711	622106	251638
712	622980	250764
713	623856	249892
714	624725	249016
715	625609	248146
716	626493	247277
717	627368	246403
718	628241	245529
719	629104	244651
720	629971	243775
721	630863	242908
722	631728	242031
723	632593	241154
724	633458	240277
725	634342	239407
726	635238	238541
727	636110	237667
728	636981	236792
729	637845	235915
730	638717	235040
731	639589	234166
732	640457	233290
733	641321	232413
734	642194	231539
735	643052	230660
736	643927	229787
737	644802	228913
738	645684	228042
739	646591	227180
740	647457	226304
741	648317	225425
742	649207	224557
743	650072	223680
744	650931	222802
745	651802	221927
746	652673	221052
747	653534	220174
748	654399	219298
749	655291	218430
750	656172	217559
751	657080	216696
752	657947	215820
753	658823	214947
754	659688	214071
755	660555	213195
756	661431	212322
757	662305	211448
758	663172	210572
759	664031	209694
760	664910	208822
761	665794	207951
762	666658	207074
763	667523	206198
764	668400	205325
765	669268	204450
766	670146	203577
767	671012	202701
768	671873	201824
769	672764	200955
770	673630	200079
771	674497	199203
772	675383	198333
773	676247	197457
774	677108	196579
775	677981	195706
776	678838	194827
777	679711	193953
778	680594	193082
779	681449	192203
780	682320	191329
781	683190	190454
782	684065	189581
783	684947	188710
784	685829	187838
785	686717	186968
786	687586	186094
787	688451	185217
788	689324	184344
789	690188	183467
790	691055	182592
791	691922	181717
792	692822	180850
793	693687	179974
794	694568	179102
795	695460	178233
796	696333	177359
797	697223	176490
798	698087	175613
799	698951	174737
800	699819	173862
801	700716	172994
802	701590	172121
803	702450	171244
804	703314	170368
805	704185	169493
806	705049	168617
807	705958	167752
808	706820	166876
809	707684	166000
810	708564	165127
811	709437	164253
812	710304	163378
813	711172	162503
814	712039	161628
815	712910	160754
816	713779	159879
817	714653	159006
818	715538	158134
819	716420	157263
820	717290	156388
821	718166	155515
822	719030	154639
823	719895	153764
824	720784	152893
825	721675	152023
826	722545	151149
827	723400	150271
828	724266	149396
829	725145	148523
830	726028	147651
831	726907	146779
832	727779	145905
833	728646	145030
834	729516	144156
835	730383	143280
836	731261	142408
837	732130	141533
838	732999	140659
839	733868	139784
840	734738	138910
841	735623	138038
842	736493	137164
843	737355	136288
844	738228	135414
845	739110	134542
846	739977	133667
847	740842	132792
848	741710	131917
849	742578	131043
850	743438	130167
851	744348	129300
852	745227	128427
853	746112	127555
854	746986	126681
855	747849	125806
856	748719	124932
857	749581	124056
858	750440	123180
859	751312	122306
860	752183	121432
861	753043	120556
862	753919	119683
863	754802	118811
864	755685	117939
865	756579	117068
866	757451	116194
867	758326	115321
868	759193	114446
869	760058	113572
870	760934	112698
871	761801	111824
872	762668	110949
873	763542	110075
874	764404	109200
875	765288	108328
876	766171	107456
877	767040	106581
878	767909	105707
879	768789	104834
880	769652	103959
881	770525	103086
882	771400	102212
883	772413	101357
884	773491	100510
885	774645	99672
886	775815	98835
887	777030	98003
888	778271	97174
889	779356	96324
890	780459	95477
891	781521	94623
892	782537	93764
893	783775	92930
894	784753	92066
895	785643	91190
896	786688	90333
897	787615	89461
898	788715	88609
899	789863	87762
900	790759	86887
901	791680	86014
902	792691	85150
903	793826	84300
904	794987	83451
905	796205	82608
906	797473	81769
907	798544	80909
908	799430	80031
909	800311	79151
910	801396	78292
911	802492	77433
912	803566	76572
913	804538	75700
914	805665	74843
915	807035	74007
916	808167	73149
917	809336	72293
918	810547	71441
919	811954	70604
920	813169	69750
921	814404	68897
922	815551	68036
923	816529	67160
924	817706	66300
925	819105	65457
926	820373	64603
927	821606	63745
928	822704	62876
929	823633	61993
930	824637	61117
931	825926	60260
932	827276	59407
933	828544	58548
934	829769	57684
935	831035	56822
936	832134	55949
937	833337	55081
938	834401	54205
939	835384	53322
940	836529	52449
941	837439	51562
942	838341	50673
943	839212	49783
944	840346	48909
945	841237	48019
946	842145	47131
947	843279	46255
948	844381	45377
949	845272	44488
950	846241	43602
951	847112	42711
952	847999	41821
953	848890	40931
954	849770	40041
955	850790	39157
956	851916	38278
957	853254	37407
958	854524	36533
959	855745	35656
960	857024	34780
961	858083	33895
962	858973	33003
963	859842	32110
964	860716	31217
965	861583	30324
966	862518	29434
967	863408	28542
968	864281	27649
969	865168	26757
970	866052	25865
971	866948	24973
972	867825	24081
973	868702	23189
974	869580	22296
975	870459	21404
976	871516	20516
977	872748	19632
978	873853	18744
979	875007	17857
980	875935	16965
981	877025	16075
982	878038	15184
983	879178	14295
984	880273	13405
985	881345	12514
986	882249	11620
987	883179	10726
988	884115	9833
989	885064	8940
990	886061	8046
991	886994	7153
992	887887	6259
993	888757	5364
994	889629	4470
995	890573	3576
996	891547	2682
997	892515	1788
998	893413	894
999	894403	0
